Agency Name,City,Address Line 1,MATCH_BY_CITY,MATCH_BY_ADDRESS,MATCH_BY_NAME_ONLY
LAUREL TECHNOLOGIES PARTNERSHIP,JOHNSTOWN,246 AIRPORT ROAD,NO,,
LCI,TAMARAC,6236 HIATUS ROAD,NO,,
LEA INC,CARLSBAD,2186 PALOMAR AIRPORT ROAD,NO,,
LEACH INTERNATIONAL CORPORATION,BUENA PARK,6900 ORANGETHORPE AVE.,NO,,
LEACH INTERNATIONAL EUROPE SAS,NIORT,14 RUE SAINTE CLAIRE DEVILLE,NO,,
LEADING EDGE AEROSPACE LLC,MIAMI,16115 NW 52ND. AVENUE,NO,,
LEADING EDGE AVIATION INC,BEND,63205 GIBSON AIR RD. HANGAR #1,YES,,
LEADING EDGE AVIONICS INC,SANTA ANA,19300 IKE JONES ROAD,NO,,
,CHINO,7000 MERRILL AVE.,NO,,
LEADING EDGE COMPOSITES INC,COATESVILLE,645 SANDS COURT,NO,,
LEADING EDGE JET CENTER LLC,BEND,63138 POWELL BUTTE ROAD,NO,,
LEADING EDGE MONTANA LLC,HELENA,3200 AIRPORT ROAD,NO,,
LEAR ROMEC DIVISION OF HYDRO-AIRE AEROSPACE CORP,ELYRIA,241 S. ABBE ROAD,NO,,
LEARJET INC,TUCSON,1255 EAST AERO PARK BLVD,NO,,
,WICHITA,ONE LEARJET WAY,NO,,
,OPA LOCKA,15000 NW 37TH COURT,NO,,
,WINDSOR LOCKS,BUILDING 85-173,NO,,
LEARJET INC REPAIR STATION,WICHITA,ONE LEARJET WAY,NO,,
LEARJET INC,DALLAS,7336 AVIATION PLACE,NO,,
LECHENE AVIATION LLC,INDIANA,159 LIBERATOR LANE,NO,YES,
LEE AEROSPACE INC,WICHITA,9323 E 34 ST. N,NO,,
LEE AIR CO INC,SUN VALLEY,7545 WHEATLAND AVENUE,NO,,
LEE AIR INC,WICHITA,3000 S HYDRAULIC,NO,,
LEES ENTERPRISE,CHATSWORTH,20731 MARILLA  STREET,NO,,
LEGACY AEROSPACE LLC,MCKENZIE,535 AIRPORT LANE,NO,,
LEGACY AIR,BROOMFIELD,11905 CORPORATE WAY,NO,,
LEGACY AIRCRAFT INSTRUMENTS INC,SAN FRANCISCO,194 MIDCREST WAY,NO,,
LEGACY AIRCRAFT SERVICES INC,VAN NUYS,7100 VALJEAN AVE.,NO,,
LEGACY AVIATION LLC,TEA,47010 GREAT PLANES PL,YES,,
LEGACY AVIATION SERVICES INC,YUKON,1701A N. CIMARRON RD.,NO,,
LEGEND AEROSPACE INC,MEDLEY,8292 NW SOUTH RIVER DRIVE,NO,,
LEGIONNAIRE AEROSPACE LTD CO,DENISON,LEGIONNAIRE AEROSPACE LTD CO,YES,,
LEIDOS Inc,MANASSAS,10660 AVIATION LANE,NO,,
LENNYS AIRMOTIVE INC,SALMON,1 CENTER HANGAR ROAD,NO,,
LEONARDO BELGIUM SA,GRACE-HOLLOGNE,LIEGE-BIERSET AIRPORT BLDG 60,NO,,
LEONARDO SPA - DIVISIONE VELIVOLI,VENEGONO SUPERIORE,VIA P. FORESIO,NO,,
LEONARDO SPA - ELECTRONICS,MONTEVARCHI,VIA DELLA LAMA 13 - LOCALITA' LEVAN,NO,,
LEONARDO SPA - HELICOPTERS,CASCINA COSTA DI SAMAR,VIA G. AGUSTA 520,NO,,
LEONARDO SOUTH AFRICA (PTY) LTD,PRETORIA,HANGAR 109 LINVELT ROAD,NO,,
LEONARDO UK LIMITED,YEOVIL,LYSANDER ROAD,NO,,
LEVEL 5 AEROSPACE LLC,WACO,311 AIRLINE DRIVE,NO,,
LEVEL III NDT,HAYWARD,27720 INDUSTRIAL BLVD.,NO,,
LEWIS W HART,REXBURG,REXBURG-MADISON COUNTY AIRPORT,NO,,
LEXTHISTLE ENTERPRISES LLC,OPELOUSAS,299 HANGAR RD,NO,,YES
LF AVIONICS CORP,MIAMI,6930 NW 37TH AVE,NO,,
LIBERTY AVIATION LLC,WILLIAMSBURG,1002 AVIATION BLVD.,NO,,
LIDER TAXI AEREO S/A-AIR BRASIL,SAO PAULO,"RUA HAROLDO PARANHOS, 400",NO,,
LIEBHERR (CHINA) CO LTD,SHANGHAI,319 GAO SHE NORTH ROAD,NO,,
LIEBHERR AEROSPACE SALINE INC,SALINE,1465 WOODLAND DRIVE,NO,,
LIEBHERR-AEROSPACE LINDENBERG GMBH,LINDENBERG,PFAENDERSTRASSE 50-52,NO,,
LIEBHERR-AEROSPACE TOULOUSE SAS,TOULOUSE,"408, AVENUE DES ETATS UNIS",NO,,
LIEBHERR-ELECTRONICS AND DRIVES GMBH,LINDAU,PETER-DORNIER-STRASSE 11,NO,,
LIEBHERR-SINGAPORE PTE LTD,SINGAPORE,8 PANDAN AVENUE,NO,,
LIFE CYCLE BALLOON REPAIR,BRIGHTON,15862 DUQUESNE CIRCLE,NO,,
LIFE SUPPORT INTERNATIONAL INC,LANGHORNE,2250 CABOT BLVD. WEST,NO,,
LIFE SUPPORT SYSTEMS LLC,HAGERSTOWN,18515-7A HENSON BLVD,NO,,
LIFEPORT LLC,WOODLAND,1660 HERITAGE STREET,NO,,
LIFERAFT & MARINE SAFETY EQUIPMENT INC,HONOLULU,1133 N. NIMITZ HIGHWAY,NO,,
LIFERAFTS INC,SAN JUAN,"CALLEB, LOTE 21, SABANA ABAJO INDUS",NO,,
LIFT MAINTENANCE LLC,INDIANAPOLIS,2753 CARGO DRIVE,NO,,
LIFT MRO INC,MIAMI,5475 NW 72 AVENUE,NO,,
LIMCO-AIREPAIR INC,TULSA,5304 SOUTH LAWTON AVENUE,NO,,
LINCOLN PARK AVIATION,LINCOLN PARK,425 BEAVER BROOK ROAD,NO,,
LINCOLN SKYWAYS INC,LINCOLN,1850 FLIGHTLINE DR.,NO,,
LINDAN HOT AIR SERVICE CENTER,ALBANY,33962 NORTHWOOD DRIVE NE,NO,,
LINDE ADVANCED MATERIAL TECHNOLOGIES INC,BIDDEFORD,24 LANDRY STREET,NO,,
,NORTH HAVEN,441 SACKETT POINT ROAD,NO,,
LINEAR MOTION LLC,SAGINAW,628 NORTH HAMILTON STREET,NO,,
LIQUID MEASUREMENT SYSTEMS INC,GEORGIA,141 MORSE DRIVE,NO,,
LIVE AEROSPACE INC,MIAMI,"7205 NW 68TH STREET, BAY# 11",NO,,
LIVINGSTON AVIATION INC,WATERLOO,2814 BETSWORTH DRIVE,NO,,
LKD AEROSPACE INC,SNOQUALMIE,8020 BRACKEN PLACE SE,NO,,
LLANTAS Y ARTEFACTOS DE HULE SA DE CV,MEXICO CITY,"DESTAJISTAS NO. 5, FRACC. INDUSTRIA",NO,,
LNK NE MRO HOLDINGS LLC,LINCOLN,1751 WEST KEARNEY AVENUE,NO,,
LOCKHEED MARTIN AEROPARTS INC,JOHNSTOWN,211 INDUSTRIAL PARK ROAD,NO,,
LOCKHEED MARTIN AIRCRAFT CENTER INC,GREENVILLE,1030 LOCKHEED DRIVE,NO,,
LOCKHEED MARTIN CORPORATION,OWEGO,1801 STATE ROUTE 17C,NO,,
LOCKWOOD AVIATION REPAIR INC,SEBRING,1 LOCKWOOD LANE,NO,,
LOGIC AVIATION SERVICES LLC,TECUMSEH,40636 INDUSTRIAL PARK ROAD,NO,,
LOGIC S P A,MILANO,CASSINA DE' PECCHI,NO,,
LOGOS AVIATION INC,FORT LAUDERDALE,5900 NW 24TH WAY,NO,,
LONE MOUNTAIN AVIATION INC,HENDERSON,1456 JET STREAM DRIVE,NO,,
,LAS VEGAS,2830 NORTH RANCHO DRIVE. SUITE A,NO,,
LONGHORN GATOR LLC DBA NATIONAL JETS,"FT. LAUDERDALE,",3485 SW 9TH AVE.,NO,,
LORD CORPORATION,ERIE,2455 ROBISON ROAD WEST,NO,,
LOREE AIR INC,DIAMOND SPRINGS,6440 CAPITOL AVE,NO,,
LOT AIRCRAFT MAINTENANCE SP Z OO,WARSAW,"45C, KOMITETU OBRONY ROBOTNIKOW STR",NO,,
LOTH ENGINEERING INC,ORLANDO,1339 W WASHINGTON ST #A,NO,,
LOURO AERONAVES E SERVICOS LDA,PRIOR VELHO,RUA PROFESSOR HENRIQUE DE BARROS,NO,,
LOWCOUNTRY AVIATION COMPANY MAINTENANCE REPAIR AN,WALTERBORO,637 AVIATION WAY,NO,,
LOWE AVIATION SERVICES LLC,PEACHTREE CITY,"500 AVIATION WAY, B5",NO,,
LOYD'S AIRCRAFT MAINTENANCE INC,BAKERSFIELD,"1601 SKYWAY DRIVE, SUITE 100",NO,,
LS NDI INC,ROCKLIN,3512 WILLARD WAY,NO,,
LS TECHNICS SP ZOO,PYRZOWICE,KATOWICE AIRPORT,NO,,
LSA AVIATION SERVICES LLC,HOUSTON,8402 NELMS ST,NO,,
LSA SERVICES LLC,CLEVELAND,17485 FM 787 W,NO,,
LTA SERVICES LLC,SAINT LOUIS,6117 BAUMGARTNER CROSSING,NO,,
LUCIANO SORLINI SPA,BRESCIA,VIA MARCONI 33,NO,,
LUFTHANSA TECHNIK AKTIENGESELLSCHAFT,HAMBURG,WEG BEIM JAGER 193,NO,,
LUFTHANSA TECHNIK COMPONENT SERVICES LLC,TULSA,7424 EAST 30TH STREET NORTH,NO,,
LUFTHANSA TECHNIK ENGINE SERVICES INC,TULSA,3515 N. SHERIDAN RD.,NO,,
LUFTHANSA TECHNIK INTERCOAT GMBH,KALTENKIRCHEN,KISDORFER WEG 36-38,NO,,
LUFTHANSA TECHNIK LANDING GEAR SERVICES UK LTD,"HAYES, GREATER LONDON",UNIT 3 DAWLEY PARK,NO,,
LUFTHANSA TECHNIK MIDDLE EAST FZE,DUBAI,"BUILDING 1, WAREHOUSE 1-2, AEROSPAC",NO,,
LUFTHANSA TECHNIK PHILIPPINES,PASAY CITY,LUFTHANSA TECHNIK PHILIPPINES,NO,,
LUFTHANSA TECHNIK PUERTO RICO LLC,AGUADILLA,102 SAN ANTONIO ROAD,NO,,
LUFTHANSA TECHNIK SHENZHEN COMPANY LIMITED,SHENZHEN,BAO'AN INTERNATIONAL AIRPORT,NO,,
LUMA TECHNOLOGIES,BELLEVUE,13226 SE 30TH STREET,NO,,
LUMINATOR HOLDING LP,PLANO,900 KLEIN ROAD,NO,,
LUMINESCENT SYSTEMS INC,LEBANON,4 LUCENT DRIVE,NO,,
LY-CON REBULIDING CO,VISALIA,8231 W. DOE AVENUE,NO,,
LYCOMING ENGINES,WILLIAMSPORT,652 OLIVER ST.,NO,,
LYNCH FLYING SERVICE INC,BILLINGS,1691 AVIATION PLACE,NO,,
LYON AVIATION INC,PITTSFIELD,832 TAMARACK ROAD,NO,,
LYONS CREEK AVIATION,CHESAPEAKE,5172 WEST MILITARY HIGHWAY,NO,,
M & H RESEARCH AND DEVELOPMENT,BEAVER DAMS,471 POST CREEK RD.,NO,,
M AND M FINISHING LLC,WALTON,11475 OLD LEXINGTON PIKE,NO,,
M AND S AIR SUPPLY,HAWTHORNE,3810 WEST 120TH. STREET,NO,,
M C D ACCESSORY OVERHAUL INC,MIAMI,8775 NW 13TH TERRACE,NO,,
M E K LTD,COLORADO SPRINGS,5454 ALTEZA DR.,NO,,
M1 SUPPORT SERVICES,FORT NOVOSEL,CAIRNS ARMY AIRFIELD,NO,,
M1 SUPPORT SERVICES LLC,DENTON,300 N. ELM STREET,NO,,
MRO AVIATION PTE LTD,SINGAPORE,M.R.O. AVIATION PTE LTD,NO,,
MAAE LLC,WEST LIBERTY,50 AIRPORT WAY,YES,,
MAAS AVIATION BROOKLEY INC,MOBILE,321 AIRBUS WAY,NO,,
MAB ENGINEERING SERVICES SDN BHD,SEPANG,KUALA LUMPUR INTERNATIONAL AIRPORT,NO,,
MAC AIRCRAFT MAINTENANCE,PORTLAND,406 YELLOWBIRD ROAD,YES,,
MAC AVIATION INC,PORT CHARLOTTE,10130 OWL HEAD CIRCLE,NO,,
MACAIR AVIATION LLC,XENIA,140 NORTH VALLEY ROAD,YES,,
MACH 1 AVIATION GROUP,PEMBROKE,22365 GA HWY 46,NO,,
MACH AVIATION SRL,ALBANO LAZIALE,VIA CANCELLIERA 27/D,NO,,
MACH II MAINTENANCE CORPORATION,NEWARK,TERMINAL B SATELLITE B3,NO,,
,Jamaica,JFK INTERNATIONAL AIRPORT,NO,,
MACHEN INC,HAYDEN,10555 AIRPORT DRIVE,NO,,
MACHINING TECHNOLOGY SERVICES INC,MONROE,1817 ROCKY RIVER ROAD NORTH,NO,,
MADERA JET CENTER INC,MADERA,4181 AVIATION DRIVE,NO,,
MAG AEROSPACE INDUSTRIES INC,CARSON,1500 GLENN CURTISS STREET,NO,,
MAG AVIONICS LLC,THE WOODLANDS,19 RUSTY RIDGE PLACE,YES,,
MAG DS,TITUSVILLE,7065 CHALLENGER AVENUE,NO,,
MAGEE PLASTICS COMPANY,WARRENDALE,303 BRUSH CREEK ROAD,NO,,
MAGNAGHI AERONAUTICA SPA,NAPLES,"VIA GALILEO FERRARIS, 76",NO,,
MAGNETIC INSPECTION LABORATORY INC,ELK GROVE VILLAGE,1401 GREENLEAF AVENUE,NO,,
MAGNETIC MRO AS,TALLINN,VAIKE-SOJAMAE 1A,NO,,
MAGNUM AVIATION PVT LTD,NOIDA,"68AC, NOIDA SPECIAL ECONOMIC ZONE",NO,,
MAIN TURBO SYSTEMS INC,VISALIA,234 SOUTH COTTA COURT,NO,,
MAINE AERO SERVICES INC,BANGOR,154 MAINE AVENUE,NO,,
MAINE FOREST SERVICE,OLD TOWN,87 AIRPORT RD.,NO,,
MAJESTIC AEROTECH INC,TACOMA,223 TACOMA AVE. S,NO,,
MALMROSE HELI-SERVICES INC,NORTH SALT LAKE,890 NORTH BOBINSON DR.,NO,,
MANSFIELD HELIFLIGHT INC,MILTON,159 CATAMOUNT DRIVE,NO,,
MANUFACTURE FRANCAISE DES PNEUMATIQUES MICHELIN,SAINT DOULCHARD,"13, RUE DES 2 PONTS, BP 27",NO,,
MAPP TECHNOLOGIES LLC,JOPLIN,1927 W. 4TH ST.,NO,,
MARANA AEROSPACE SOLUTIONS INC,MARANA,24641 PINAL AIR PARK ROAD,NO,,
MARATHONNORCO AEROSPACE INC,WACO,8301 IMPERIAL DRIVE,NO,,
MARICOPA CONTROLS INC,GOODYEAR,1658 S. LITCHFIELD RD. HANGAR 18,NO,,
MARITIME HELICOPTERS INC,FAIRBANKS,METRO FIELD,NO,,
,HOMER,3520 FAA ROAD,NO,,
MARK AIRMOTIVE INC,MOSES LAKE,720 EAST THIRD AVENUE,NO,,
MARPAT AVIATION LLC,LOGAN,LOGAN COUNTY AIRPORT,NO,,
MARSHALLTOWN AVIATION INC,"MARSHALLTOWN,",MUNICIPAL AIRPORT,NO,,
MARTEC AVIATION LLC,HIALEAH,"11390 WEST 43RD AVE, SUITE 1",NO,,
MARTIN AIRCRAFT SERVICES LLC,BLAIRSVILLE,240 AIRPORT DRIVE,NO,,
MARTIN AVIATION LLC,HILLSBOROUGH TOWNSHIP,CENTRAL JERSEY REGIONAL AIRPORT,NO,,
MARTIN AVIATION L P,SANTA ANA,19300 IKE JONES ROAD,NO,,
MARTIN PNEUMATICS INC,LANDER,8180 HWY 789,NO,,
MARTINAIR INC,RICHMOND,5733 HUNTSMAN ROAD,NO,,
MARTINAIRE AVIATION LLC,ADDISON,4553 GLENN CURTISS DRIVE,NO,,
MARTINAIRE AVIATION LLC,LANSING,2618 EAST CIRCLE DRIVE,NO,,
MARTINS FAMOUS PASTRY SHOPPE INC,HAGERSTOWN,18529 HENSON BLVD,NO,,
MARVEL-SCHEBLER AIRCRAFT CARBURETORS LLC,BURLINGTON,2208 AIR PARK DRIVE,NO,,
MARYLAND Q C LABORATORIES INC,BELTSVILLE,11593 EDMONSTON ROAD,NO,,
,ABERDEEN,1550 SOUTH PHILADELPHIA,NO,,
MARYLAND STATE POLICE AVIATION COMMAND,BALTIMORE,3023 STRAWBERRY POINT ROAD,NO,,
MASCO SERVICE CORP,BROUSSARD,1344 SMEDE HWY.,NO,,YES
,GRAPEVINE,850 S. DOOLEY STREET,NO,,
MASON ELECTRIC COMPANY,SYLMAR,13955 BALBOA BLVD.,NO,,
MASTER AIR PARTS INC,SANTA MARIA,3070 SKYWAY DRIVE SUITE 303,NO,,
MASTER SWITCH AVIONICS LLC,FORT MYERS,"MASTER SWITCH AVIONICS, LLC",NO,,
MASTERSON INDUSTRIES INC,TAYLOR,202 SOUTH EDMOND ST,NO,,
MATHER AVIATION MODESTO LLC,MODESTO,801 AIRPORT WAY,NO,,
MATHER AVIATION LLC,MATHER,10360 MACREADY  AVENUE,NO,,YES
MATTERNET INC,MOUNTAIN VIEW,355 RAVENDALE DRIVE,NO,,
MATTHEW AVIONICS TESTING AND TECHNICAL SUPPORT LLC,STEVENSVILLE,947 PINE HOLLOW ROAD,NO,,
MAX MRO SERVICES PVT LTD,MUMBAI,"HANGAR NO. C1, JUHU AERODROME",NO,,
MAXON AVIATION SERVICES INC,SANTA PAULA,35 CESSNA TAXI,NO,,
MAXWELL AIRCRAFT SERVICE INC,MINNEAPOLIS,5800 CRYSTAL AIRPORT ROAD,NO,,
MAYDAY AVIONICS INC,GRAND RAPIDS,4151 AVIATOR WAY,NO,,YES
MB AEROSPACE WARREN,WARREN,25250 EASY STREET,NO,,
MC JETS SA DE CV,QUERETARO,PARQUE AEROESPACIAL DE QUERÉTARO,NO,,
MCA AVIATION LTD,CHRISTCHURCH,"BUSINESS AVIATION CENTRE, HANGER 5,",NO,,
MCCAIN AVIATION,JACKSON,146 HWY 49N,NO,,
MCCORMICK AIRCRAFT MAINTENANCE LLC,"YAKIMA,",2108 W. WASHINGTON AVE.,NO,,
MCCREERY AVIATION COMPANY INC,MCALLEN,2400 SOUTH 10TH STREET,NO,,
MCDERMOTT AVIATION PTY LTD,COOROY,LAMONTS ROAD,NO,,
MCDERMOTT AVIATION US INC,ANDALUSIA,23378 BILLIE BLACKMON ROAD,NO,,
MCKEE AVIONICS INC,SAN MARCOS,1838 AIRPORT DRIVE,NO,,
MCM MAINTENANCE CENTRE MALTA LTD,LUQA,"M.C.M HANGAR, APRON 3",NO,,
MCMAHON HELICOPTER SERVICES INC,CANTON,8170 N. LILLEY ROAD,NO,,
MD HELICOPTERS LLC,MESA,4555 E. MCDOWELL RD.,NO,,
MD TURBINES REPAIRS INC,HIALEAH,3850 WEST 108TH STREET,NO,,
MEASURETECH INC,CHATSWORTH,20650 BAHAMA STREET,NO,,
MECAER AVIATION GROUP INC,BENSALEM,777 AMERICAN DRIVE,NO,,
MECAER AVIATION GROUP SPA,BORGOMANERO,VIA PER ARONA 46,NO,,
MECANAIR SA,ECUVILLENS,RTE DE L'AERODROME 30,NO,,
MECAWINGS,ROISSY EN FRANCE,AÉROPORT ROISSY CDG,NO,,
MECHAERO INC,GRANBURY,8744 SOUTH MONTICELLO CIRCLE,NO,,
MECHANICAL DYNAMICS & ANALYSIS LLC,SAN ANTONIO,6948 FAIRGROUNDS PKWY,NO,,
MECO COMPANY LLC,PARIS,2121 S. MAIN ST.,NO,,
MED-CRAFT INC,MIAMI,2450 NW 110 AVENUE,NO,,
MEDITERRANEAN AVIATION COMPANY LIMITED,SAFI,MEDAVIA HANGAR,NO,,
MEEKER AIRPORT INC,MEEKER,921 EAST MARKET STREET,NO,,
MEGAHERTZ AVIONICS INC,BAKERSFIELD,1949 AIRPORT DR.,YES,,
MEGGITT (NORTH HOLLYWOOD) INC,NORTH HOLLYWOOD,12838 SATICOY STREET,NO,,
MEGGITT (SENSOREX),ARCHAMPS,"196, RUE LOUIS RUSTIN",NO,,
MEGGITT (TROY) INC,TROY,3 INDUSTRIAL DRIVE,NO,,
MEGGITT (UK) LIMITED,FAREHAM,UNITS 2-5 TITCHFIELD PARK,NO,,
MEGGITT AEROSPACE ASIA PACIFIC PTE LTD,SINGAPORE,1A SELETAR AEROSPACE LINK,NO,,
MEGGITT AEROSPACE LIMITED,COVENTRY,ANSTY PARK,NO,,
,LOUGHBOROUGH,ASHBY ROAD,NO,,
MEGGITT AIRCRAFT BRAKING SYSTEMS CORPORATION,AKRON,1204 MASSILLON ROAD,NO,,
MEGGITT AIRCRAFT BRAKING SYSTEMS KY CORP,DANVILLE,120 CORPORATE DRIVE,NO,,
MEGGITT SA,VILLARS-SUR-GLÂNE,ROUTE DE MONCOR 4,NO,,
MEGGITT SAFETY SYSTEMS INC,SIMI VALLEY,1915 VOYAGER AVENUE,NO,,
MEKCO GROUP INC,MIAMI,2775 NORTHWEST 82 AVENUE,NO,,
MEL AVIATION LTD,"SUDBURY, SUFFOLK",LAURENCE WALTER HOUSE,NO,,
MEMON AIRCRAFT INSTRUMENT SERVICES INC,DALLAS,8001 LEMMON AVENUE,YES,,
MEMPHIS PROPELLER & ACCESSORIES LLC,OLIVE BRANCH,11098 WILLOW RIDGE DR,NO,,
MENA AIRCRAFT ENGINES INC,MENA,103 AVIATION LANE,NO,,
MENAGERIE ENTERPRISES INC,DENNISON,3604 AIRPORT DR.,NO,,
MERCURY MISSION SYSTEMS LLC,GULF BREEZE,2665 GULF BREEZE PARKWAY,NO,,
MERIDEN ELECTRONICS CORPORATION,MERIDEN,1777 NORTH COLONY ROAD,NO,,
MERIDIAN AERO SERVICES LLC,MIAMI,8007 N.W. 64TH STREET,NO,,
MERIDIAN AIRPORT AUTHORITY,MERIDIAN,2913 HWY 11 SOUTH,NO,,
MERIDIAN HELICOPTERS LLC,BROUSSARD,126 LAFFERTY DR.,NO,,
MERL INC,MONTGOMERY,1400 E. SOUTH BLVD,NO,,
MERLIN'S AVIONICS SERVICE,GALLATIN,1045 ROUNDTREE DRIVE,NO,,
MERRILL CORPORATION,CLEARFIELD,BUILDING Z-15,NO,,
MERRILL FIELD INSTRUMENTS,ANCHORAGE,2015 MERRILL FIELD DRIVE,YES,,
MESQUITE AVIONICS LLC,MESA,7228 E. NATHAN ST.,NO,,
MET-L-TEST LABORATORY,STRATFORD,115 BROWNING STREET,NO,,
METAL FINISHING TECHNOLOGIES LLC,BRISTOL,60 WOOSTER COURT,NO,,
METAL FUSION INC,REDWOOD CITY,425 HURLINGAME AVENUE,NO,,
METAL IMPROVEMENT CO LLC,PHOENIX,103 SOUTH 41ST AVENUE,NO,,
METAL IMPROVEMENT COMPANY,INDIANAPOLIS,"5945 WEST 84TH ST, SUITE D",NO,,
,LYNWOOD,2588-A INDUSTRY WAY,NO,,
METAL IMPROVEMENT COMPANY INC,GRAND PRAIRIE,1450 AVENUE S.,NO,,
,SANTA ANA,2151 S. HATHAWAY STREET,NO,,
METAL IMPROVEMENT COMPANY LLC,TWINSBURG,1652 HIGHLAND ROAD,NO,,
,LIVERMORE,7655 LONGARD ROAD,NO,,
METAL IMPROVEMENT COMPANY LLC,EAST WINDSOR,12 THOMPSON ROAD,NO,,
,ADDISON,678 WINTHROP AVENUE,NO,,
METAL IMPROVEMENT COMPANY LLC SUBSIDIARY OF CURT,WINDSOR,145 ADDISON ROAD,NO,,
METAL INNOVATIONS INC,SALEM,2870 25TH ST SE,YES,,
METAL SURFACES INC,BELL GARDENS,6060 SHULL STREET,NO,,
METALLIZING SERVICE COMPANY HOLDINGS LLC,ELMWOOD,11 CODY STREET,NO,,
METALLURGICAL PROCESSING INC,NEW BRITAIN,68 ARTHUR STREET,NO,,
METREA AVIATION SERVICES MX1 INC,OKLAHOMA CITY,7301 NW 50TH STREET,NO,,
METREA AVIATION SERVICES MX2 INC,TAMPA,4751 JIM WALTER BLVD.,NO,,
METRO AVIATION INC,LAFAYETTE,"METRO AVIATION, INC.",NO,,YES
METRO AVIATION INC,SHREVEPORT,1214 HAWN AVENUE,YES,,
METROJET ENGINEERING CLARK,CLARK FREEPORT ZONE,"BLDG. N7727, M.A. ROXAS HIGHWAY",NO,,
METROJET LTD,LANTAU ISLAND,1/F BUSINESS AVIATION CENTRE,NO,,
MEXICANA MRO SA DE CV,MEXICO CITY,AV. 602 NO.161-A COL. SAN JUAN DE A,NO,,
MEXICO MRO MANAGEMENT S DE RL DE CV,QUERETARO,200 CARRETERA QUERÉTARO-TEQUISQUIAP,NO,,
MG TECHNICS LLC,MIAMI,7205 NW 68TH STREET UNIT #10,NO,,
MH AVIATION INC,LANCASTER,4651 WILLIAM BARNES AVENUE,NO,,
MHI RJ AVIATION INC,TUCSON,1555 EAST AERO PARK BLVD.,NO,,
,BRIDGEPORT,2400 AVIATION WAY,NO,,
MIAMI AIRCRAFT STRUCTURES INC,MEDLEY,9730 NW 114TH WAY,NO,,
MIAMI PEENING SERVICES LLC,MIAMI,13435 SW 128TH ST,NO,,
MIAT MONGOLIAN AIRLINES,ULAANBAATAR,MIAT MONGOLIAN AIRLINES,NO,,
MICHAEL SCHOENAU,TULARE,5400 LEONARD NOELL DR.,NO,,
MICHELIN NORTH AMERICA INC,NORWOOD,40589 SOUTH STANLY SCHOOL RD,NO,,
MICHELIN SIAM CO LTD,SARABURI,"57 MOO 6,  NONG-PRAKRADEE ROAD",NO,,
MICHIGAN BALLOON CORPORATION KALAMAZOO,PORTAGE,3057 E. MILHAM AVE,NO,,
MICRO-SURFACE FINISHING PRODUCTS INC,WILTON,1217 WEST THIRD STREET,NO,,
MICROTECNICA SRL,TORINO,PIAZZA ARTURO GRAF 147,NO,,
MID AMERICA AEROSPORT,BROKEN ARROW,1601 WEST EDGEWATER PLACE,NO,,
MID AMERICA AIRCRAFT SERVICES LLC,OWENSBORO,OWENSBORO/DAVIESS COUNTY AIRPORT,NO,,
MID CONTINENT CONTROLS INC,DERBY,901 N. RIVER,NO,,
MID CONTINENT INSTRUMENT CO INC,WICHITA,9400 E. 34TH ST. N.,NO,,
MID CONTINENT INSTRUMENT COMPANY INC,CHATSWORTH,9722 TOPANGA CANYON BLVD.,NO,,
MID PACIFIC AERO SERVICES,KAPOLEI,91-1259 MIDWAY ROAD,NO,,YES
MID-AMERICA AEROTECH LLC,WEST FARGO,159 8TH AVE NW,NO,,
MID-CONTINENT AIRCRAFT CORPORATION,HAYTI,1601 HIGHWAY 84 EAST,NO,,
MID-CONTINENTAL AVIONICS LLC,DURANT,"8 WALDRON ROAD, HANGAR 24C",YES,,
MID-JET REPAIR LLC,FORT MYERS,"12931 METRO PARKWAY, SUITE 3",NO,,
MID-SOUTH AVIONICS INC,BESSEMER,950 MITCHELL FIELD RD. SE,YES,,
MIDAMERICA JET WORKS LLC,SUGAR GROVE,43W520 ROUTE 30,NO,,
MIDSTATE AVIATION INC,ELLENSBURG,1207 E. BOWERS ROAD,YES,,
MIDWAY AIRCRAFT INSTRUMENT CORPORATION,MONROE,1419 NORTH ROCKY RIVER ROAD,NO,,
MIDWEST AERO SUPPORT LLC,MACHESNEY PARK,1303 TURRET DRIVE,NO,,
MIDWEST AEROSPACE LTD AZ,GILBERT,566 E. GERMANN RD.,NO,,
MIDWEST AIRCRAFT PRODUCTS COMPANY,MANSFIELD,125 SOUTH MILL STREET,NO,,
MIDWEST AVIATION SERVICES INC,MAYFIELD,127 AIRPORT ROAD,YES,,
MIDWEST AVIONICS LLC,DECATUR,790 SOUTH AIRPORT ROAD,NO,,YES
,LEE'S SUMMIT,2525 NE DOUGLAS ST.,NO,,
MIDWEST BALLOON SERVICES,TRURO,104 E. CENTER STREET,NO,,
MIDWEST HELICOPTER AIRWAYS INC,WILLOWBROOK,525 EXECUTIVE DRIVE,NO,,
MIDWEST TURBINE SERVICE LLC,HARTFORD,4200 COUNTY HIGHWAY U,NO,,
MIKE JONES AIRCRAFT SALES INC,MURFREESBORO,1926 MEMORIAL BLVD,NO,,
MILLENIUM ENGINE PLATING INC,HIALEAH,600 WEST 84 STREET,NO,,
MILLENNIAL TECHNOLOGIES LLC,FORT LAUDERDALE,1020 W. CYPRESS CREEK RD. HANGAR 16,NO,,
MILLENNIUM CONCEPTS INC,WICHITA,9050 W. MONROE CIRCLE,NO,,
