Agency Name,City,Address Line 1,MATCH_BY_CITY,MATCH_BY_ADDRESS,MATCH_BY_NAME_ONLY
ADVANCETECH AIRCRAFT MAINTENANCE INC,SALINAS,1605 MOFFETT STREET,NO,,
ADVANTAGE AIRCRAFT SERVICES LLC,CORPUS CHRISTI,549 PINSON DRIVE,YES,,
ADVANTAGE AVIATION TECHNOLOGIES II LLC,GRANDVIEW,1300 MCDUFF AVE.,NO,,
ADVANTAGE TURBINE SERVICES SWEDEN AB,KNIVSTA,MARMA 113,NO,,
ADVENTURE AIR AVIONIX,MANASSAS,10134 FOREST HILL CIRCLE,NO,,
ADVENTURE FLIGHTS INC,LAKE ELSINORE,19301 JASMINE COURT,NO,,
ADVENTURES AVIATION LLC,WHITE HOUSE STATION,39 THOR-SOLBERG RD.,NO,,
AE AND C SERVICES LLC,ROBERTSDALE,22800 MCAULIFFE DRIVE,NO,,
AED ELECTRONICS,DUMFRIES,422 FORTUNA CENTER PLAZA #804,NO,,
AEE/EMF INC,RIVERSIDE,102 NW BUSINESS PARK LANE,NO,,
AEKO KULA LLC,HONOLULU,50 ELLIOTT STREET,NO,,
AELO MAINTENANCE SA,GORDOLA,VIA AEROPORTO 21,NO,,
AEM LTD,STANSTED,STANSTED AIRPORT,NO,,
AER BLARNEY BALLOONS LLC,BETHLEHEM,92 TOWN LINE ROAD,NO,,
AERFIN LIMITED,BEDWAS,"UNIT D, PARC BEDWAS, 2 GREENWAY",NO,,
AERIAL AVIONICS INC,MONTEREY,1600 AIRPORT RD. HANGAR B,NO,,
AERMECCANICA SRL,LONATE POZZOLO,VIA MONTE GRAPPA 2,NO,,
AERNNOVA AEROSPACE S A,MINANO MAYOR,C/ LEONARDO DA VINCI 13,NO,,
AERO ACCESSORIES & REPAIR LLC,MIRAMAR,15501 SW 29TH STREET,NO,,
AERO ACCESSORIES INC,VAN NUYS,16152 VALERIO STREET,NO,,
AERO ACCESSORIES LLC,BURLINGTON,2208 AIR PARK DRIVE,NO,,
AERO AIR LLC,HILLSBORO,2050 NE 25TH AVENUE,YES,,
AERO AVIONICS INC,SANFORD,704 ROD SULLIVAN ROAD,YES,,
AERO AVIONIK GMBH,SAARBRUECKEN,BALTHASAR GOLDSTEINSTRASSE 20,YES,,
AERO BATTERY Inc,CINCINNATI,3442 CHURCH STREET,NO,,
AERO BORESCOPE AND CO,AVIGNONET-LAURAGAIS,6 CHEMIN DES FOSSES,NO,,
AERO CHARTER INC,CHESTERFIELD,501 TURBINE AVENUE,YES,,
AERO COMFORT,SAN ANTONIO,1202 TRIPLETT,NO,,
AERO COMPONENT REPAIR LLC,DURANT,3625 WEST ARKANSAS,YES,,
AERO COMPOSITES AND STRUCTURES INC,FARMERS BRANCH,12880 VALLEY BRANCH LANE,NO,,
AERO CONTROLS INC,AUBURN,1610 20TH STREET NW,NO,,
